id;id_url;name;url;status;created_date;updated_date
1;1;;http://artbuket.by/;ACTIVE;21.12.16 23:02;21.12.16 23:02
2;2;;http://cvetimira.by/;ACTIVE;21.12.16 23:02;21.12.16 23:02
3;3;;http://gvozdika.by/;ACTIVE;22.12.16 23:02;22.12.16 23:02
4;4;;https://giz.by/;ACTIVE;23.12.16 23:02;23.12.16 23:02
5;5;;https://zoo24.by/;ACTIVE;24.12.16 23:02;24.12.16 23:02
6;6;;http://vuda.by/;ACTIVE;25.12.16 23:02;25.12.16 23:02
7;7;;https://xn--g1anf0c.xn--90ais/;ACTIVE;26.12.16 23:02;26.12.16 23:02
8;8;;http://tgifridays.by/;ACTIVE;27.12.16 23:02;27.12.16 23:02
9;9;;http://planetsushi.by/;ACTIVE;28.12.16 23:02;28.12.16 23:02
10;10;;http://restoransvoi.by/;ACTIVE;29.12.16 23:02;29.12.16 23:02
11;11;;http://ilpatio.by/;ACTIVE;30.12.16 23:02;30.12.16 23:02
12;12;;http://belysad.by/;ACTIVE;31.12.16 23:02;31.12.16 23:02
13;13;;http://www.buketik.by/;ACTIVE;01.01.17 23:02;01.01.17 23:02
14;14;;http://florist.by/;ACTIVE;02.01.17 23:02;02.01.17 23:02
15;15;;http://4fun.by/;ACTIVE;03.01.17 23:02;03.01.17 23:02
16;16;;https://poznaika.by/;ACTIVE;04.01.17 23:02;04.01.17 23:02
17;17;;http://zanachka.by/;ACTIVE;05.01.17 23:02;05.01.17 23:02
18;18;;http://dannybear.by/;ACTIVE;05.01.17 23:02;05.01.17 23:02
19;19;;http://boom-box.by/;ACTIVE;06.01.17 23:02;06.01.17 23:02
